deadline,wantedTitle,workPlcNm,plDetAddr,etcItm,emplymShp,frDd,toDd,oranNm,stmNm,clltPrnnum,clerk,clerkContt,homepage
접수중,세탁공장 근로자 채용,전라남도 순천시,58024 전라남도 순천시 해룡면 정채봉길 131 ,"고용촉진장려금대상자, 장애인 ",기타,20240412,20240611,주식회사하이런드리,워크넷,8,허영범,061-723-0992,
접수중,평택 고덕국제신도시 제일풍경채 더퍼스트 아파트 경비원모집,경기도 화성시,18340 경기도 화성시 배양길 53-6 (배양동),"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장애인 ",기타,20240412,20240511,그린코리아주식회사,워크넷,1,유용섭,,
접수중,충주대원고등학교 환경실무사 신규채용 공고,충청북도 충주시,27486 충청북도 충주시 안림로 43 (안림동),"보훈취업지원대상자, 장애인 청소관련 경력자",기타,20240412,20240419,충주대원고등학교,워크넷,1,김인섭,043-840-0904,www.daewon.hs.kr
접수중,인덕대학교 직원(일자리센터 행정직) 채용 재공고,서울특별시 노원구,01878 서울특별시 노원구 초안산로 12 (월계동),"보훈취업지원대상자, 장애인 ？ 우대사항
 ① 정부·지자체 재정지원사업 관리 및 운영 1년 이상 유경험자
 ② 대학 행정업무 경력자
 ③ 컴퓨터 활용 관련 자격 소지자",기타,20240412,20240422,인덕대학교,워크넷,1,김광만,02-950-7127,http://www.induk.ac.kr
접수중,"[채용 대행 - 광명동 건설현장] 경비원 채용(격일 2명,주간 1명)",서울특별시 서초구,"06695 서울특별시 서초구 방배로 73, 403호 (방배동, 양지빌딩 4층)","(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 장기복무 제대군인, 장애인 ",기타,20240412,20240611,국도안전관리(주),워크넷,3,최준호,031-8045-3268,www.kukdo1228.co.kr
접수중,"의복 완성 업무 담당자  구인   (미싱, 아이롱(다림질), 실밥제거, 스냅, 단추, 포장업무)",경기도 파주시,10807 경기도 파주시 법원읍 파주로 2550 ,"(준)고령자(50세이상), 북한이탈주민, 운전면허증, 장애인, 차량소지자 ",기타,20240412,20240426,주식회사하이디,워크넷,1,김건수,0000-1644-9624,theuniform.co.kr
접수중,[급구]풀무원음성생면나물공장 보안(경비)원 2교대 모집 월250만,서울특별시 영등포구,"07332 서울특별시 영등포구 국제금융로8길 27-8, NH캐피탈빌딩 (여의도동, 엔에이치농협캐피탈빌딩)","(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 운전면허증, 장기복무 제대군인, 장애인, 차량소지자 ",기타,20240412,20240430,(주)지앤비시스템,워크넷,1,채일웅,,
접수중,[고양동] 우방유쉘 아파트 미화원 모집,경기도 시흥시,14904 경기도 시흥시 문화마을로16번길 45 (대야동),"(준)고령자(50세이상), 보훈취업지원대상자, 장애인 ",기타,20240412,20240430,주식회사한영파트너스에프에이치,워크넷,1,김현진,,http://www.90hy.co.kr
접수중,카카오T블루 택시기사 모집 (일반택시 기사 포함),서울특별시 서대문구,"03715 서울특별시 서대문구 수색로 133, 1,3층 (북가좌동)","(준)고령자(50세이상), 운전면허증, 장애인 안녕하십니까. 가족같은 택시! 친구같은 택시! 화인택시(주)입니다.
저희 화인택시는카카오 T블루 가맹업체이며, 서울 서대문구 북가좌삼거리에 위치한 보유대수 72대 규모의 회사입니다.
일반택시는 물론 카카오 T블루등 상시 기사모집을 하고있으며,경력자는 물론 초보자 장애인 고령자 등 언제든지 환영합니다.  

입사상담 02)916-5351~2",기타,20240412,20240611,화인택시주식회사,워크넷,10,유정식,02-916-5352,
접수중,원주시가족센터 직원 (아이돌봄지원사업-사회복지사) 채용,강원특별자치도 원주시,26399 강원특별자치도 원주시 판부면 매봉길 16-18 ,"운전면허증, 장애인 ",기타,20240412,20240417,원주시가족센터,워크넷,1,남궁은임,070-8897-7937,
