title,apply_status,education_category,edu_date,capacity,fee,edu_content,apply_start,apply_end
시니어 노동자 교육,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['경비 노동자 노동법교육1_근로계약 및 휴게시설', '경비 노동자 노동법교육2_연차휴가 및 임금', '경비 노동자 노동법교육3_산재 및 실업급여', '요양보호사 노동법교육1_근로계약 및 임금', '요양보호사 노동법교육2_실업급여 및 산재보상', '청소노동자 노동법교육1_근로계약 및 임금', '청소노동자 노동법교육2_휴가 및 휴게공간', '청소노동자 노동법교육3_실업급여 및 권리구제']",2024-02-27 , 2024-12-31
사회복지 프로포절작성의 첫걸음,접수진행중,보건복지교육,교육승인일로 부터    21일,500,무료,"['1차시 배분사업 및 프로포절의 이해 INTRO', '1차시 배분사업 및 프로포절의 나의 상황은', '1차시 배분사업 및 프로포절의 이해 학습목표', '1차시 배분사업 및 프로포절의 이해 배분사업에 대한 이해', '1차시 배분사업 및 프로포절의 이해 프로포절이란', '1차시 배분사업 및 프로포절의 이해 기금신청과 심사기준', '1차시 배분사업 및 프로포절의 이해 작성 조건', '1차시 배분사업 및 프로포절의 이해 평가하기', '1차시 배분사업 및 프로포절의 이해 정리하기', '1차시 배분사업 및 프로포절의 이해 OUTRO', '2차시 프로포절 작성 기본기 정복하기ⅠINTRO', '2차시 프로포절 작성 기본기 정복하기Ⅰ나의 상황은', '2차시 프로포절 작성 기본기 정복하기Ⅰ강사소개', '2차시 프로포절 작성 기본기 정복하기Ⅰ 사업의 필요성', '2차시 프로포절 작성 기본기 정복하기Ⅰ 대상자 범위 설정 및 선정', '2차시 프로포절 작성 기본기 정복하기Ⅰ목적과 목표 설정', '2차시 프로포절 작성 기본기 정복하기Ⅰ평가하기', '2차시 프로포절 작성 기본기 정복하기Ⅰ정리하기', '2차시 프로포절 작성 기본기 정복하기Ⅰ OUTRO', '3차시 프로포절 작성 기본기 정복하기Ⅱ INTRO', '3차시 프로포절 작성 기본기 정복하기Ⅱ 나의 상황은', '3차시 프로포절 작성 기본기 정복하기Ⅱ 학습목표', '3차시 프로포절 작성 기본기 정복하기Ⅱ 사업 내용 작성', '3차시 프로포절 작성 기본기 정복하기Ⅱ 예산수립', '3차시 프로포절 작성 기본기 정복하기Ⅱ 평가하기', '3차시 프로포절 작성 기본기 정복하기Ⅱ 정리하기', '3차시 프로포절 작성 기본기 정복하기Ⅱ OUTRO', '4차시 프로포절 사례분석 INTRO', '4차시 프로포절 사례분석 강사소개', '4차시 프로포절 사례분석 우수사례 실패사례', '4차시 프로포절 사례분석 미선정 사례분석', '4차시 프로포절 사례분석 평가하기', '4차시 프로포절 사례분석 정리하기', '4차시 프로포절 사례분석 OUTRO']",2024-02-01 , 2024-12-13
일자리를 부탁해 보건복지 진로 탐색,접수진행중,보건복지교육,교육승인일로 부터    21일,500,무료,"['일자리를 부탁해 보건복지 진로 탐색', '일자리를 부탁해 보건복지 진로 탐색 ']",2024-02-01 , 2024-12-13
일자리를 부탁해 한마음혈액원편,접수진행중,보건복지교육,교육승인일로 부터    21일,500,무료,['일자리를 부탁해 한마음혈액원편 '],2024-02-01 , 2024-12-13
일자리를 부탁해 오송종합사회복지관편,접수진행중,보건복지교육,교육승인일로 부터    21일,500,무료,['일자리를 부탁해 오송종합사회복지관편'],2024-02-01 , 2024-12-13
사회복지시설안전관리 화재 전기 가스관리,접수진행중,보건복지교육,교육승인일로 부터    21일,500,무료,"['1차시 사회복지시설 안전생활 지키기 INTRO', '1차시 사회복지시설 안전생활 지키기 들어가기', '1차시 사회복지시설 안전생활 지키기 학습목표', '1차시 사회복지시설 안전생활 지키기 왜 필요한가', '1차시 사회복지시설 안전생활 지키기 관련 법률과 정책', '1차시 사회복지시설 안전생활 지키기 이용자 행동특성', '1차시 사회복지시설 안전생활 지키기 적용하기', '1차시 사회복지시설 안전생활 지키기 평가하기', '1차시 사회복지시설 안전생활 지키기 정리하기', '1차시 사회복지시설 안전생활 지키기 OUTRO', '2차시 화재안전 예방활동 INTRO', '2차시 화재안전 예방활동 들어가기', '2차시 화재안전 예방활동 학습목표', '2차시 화재안전 예방활동 화재에 대한 이해', '2차시 화재안전 예방활동 화재 사례', '2차시 화재안전 예방활동 화재안전 교육과 소방시설', '2차시 화재안전 예방활동 적용하기', '2차시 화재안전 예방활동 평가하기', '2차시 화재안전 예방활동 정리하기', '2차시 화재안전 예방활동 OUTRO', '3차시 화재안전 초기 대응활동 INTRO', '3차시 화재안전 초기 대응활동 들어가기', '3차시 화재안전 초기 대응활동 학습목표', '3차시 화재안전 초기 대응활동 화재예방을 위한 소방시설', '3차시 화재안전 초기 대응활동 사회복지시설 설치 지역별 화재안전', '3차시 화재안전 초기 대응활동 적용하기', '3차시 화재안전 초기 대응활동 평가하기', '3차시 화재안전 초기 대응활동 정리하기', '3차시 화재안전 초기 대응활동 OUTRO', '4차시 화재안전 피난활동 INTRO', '4차시 화재안전 피난활동 들어가기', '4차시 화재안전 피난활동 학습목표', '4차시 화재안전 피난활동 초기 대처방법', '4차시 화재안전 피난활동 유형별 피난활동', '4차시 화재안전 피난활동 화재 대처방법', '4차시 화재안전 피난활동 적용하기', '4차시 화재안전 피난활동 평가하기', '4차시 화재안전 피난활동 정리하기', '4차시 화재안전 피난활동 OUTRO', '5차시 전기안전관리 INTRO', '5차시 전기안전관리 들어가기', '5차시 전기안전관리 학습목표', '5차시 전기안전관리 안전하게 사용하기', '5차시 전기안전관리 안전 활동', '5차시 전기안전관리 적용하기', '5차시 전기안전관리 평가하기', '5차시 전기안전관리 정리하기', '5차시 전기안전관리 OUTRO', '6차시 가스안전관리 INTRO', '6차시 가스안전관리 들어가기', '6차시 가스안전관리 학습목표', '6차시 가스안전관리 일반사항', '6차시 가스안전관리 가스안전사고 최소화 활동', '6차시 가스안전관리 가스안전사고 최소화 활동1', '6차시 가스안전관리 적용하기', '6차시 가스안전관리 평가하기', '6차시 가스안전관리 정리하기', '6차시 가스안전관리 OUTRO']",2024-02-01 , 2024-12-13
사회복지시설안전관리 시설물 위생 자연재난관리,접수진행중,보건복지교육,교육승인일로 부터    21일,500,무료,"['1차시 시설물안전 안전점검 INTRO', '1차시 시설물안전 안전점검 들어가기', '1차시 시설물안전 안전점검 학습목표', '1차시 시설물안전 안전점검 일반사항', '1차시 시설물안전 안전점검 시설물 붕괴 안전관리', '1차시 시설물안전 안전점검 적용하기', '1차시 시설물안전 안전점검 평가하기', '1차시 시설물안전 안전점검 정리하기', '1차시 시설물안전 안전점검 OUTRO', '2차시 사회복지시설의 위생안전관리 INTRO', '2차시 사회복지시설의 위생안전관리 들어가기', '2차시 사회복지시설의 위생안전관리 학습목표', '2차시 사회복지시설의 위생안전관리 위생관리 일반사항', '2차시 사회복지시설의 위생안전관리 활동', '2차시 사회복지시설 이용자 위생안전수칙', '2차시 사회복지시설 이용자 위생안전수칙 적용하기', '2차시 사회복지시설 이용자 위생안전수칙 평가하기', '2차시 사회복지시설 이용자 위생안전수칙 정리하기', '2차시 사회복지시설 이용자 위생안전수칙 OUTRO', '3차시 여름철 자연재난 예방과 대비 INTRO', '3차시 여름철 자연재난 예방과 대비 들어가기', '3차시 여름철 자연재난 예방과 대비 학습목표', '3차시 여름철 자연재난 예방과 대비 대응활동', '3차시 여름철 자연재난 예방과 대비 대응활동1', '3차시 여름철 자연재난 예방과 대비 대응활동 적용하기', '3차시 여름철 자연재난 예방과 대비 대응활동 평가하기', '3차시 여름철 자연재난 예방과 대비 대응활동 정리하기', '3차시 여름철 자연재난 예방과 대비 대응활동 OUTRO', '4차시 동절기 재난안전관리 INTRO', '4차시 동절기 재난안전관리 사건사고', '4차시 동절기 재난안전관리 학습목표', '4차시 동절기 재난안전관리 황사재난 예방과 대응활동', '4차시 동절기 재난안전관리 황사재난 예방과 대응활동1', '4차시 동절기 재난안전관리 황사재난 예방과 대응활동 적용하기', '4차시 동절기 재난안전관리 황사재난 예방과 대응활동 평가하기', '4차시 동절기 재난안전관리 황사재난 예방과 대응활동 정리하기', '4차시 동절기 재난안전관리 황사재난 예방과 대응활동 OUTRO', '5차시 자연재난 안전관리 INTRO', '5차시 자연재난 안전관리 들어가기', '5차시 자연재난 안전관리 학습목표', '5차시 자연재난 안전관리 지진 지진해일 일반사항', '5차시 자연재난 안전관리 지진 지진해일 안전관리', '5차시 자연재난 안전관리 재난 시 행동', '5차시 자연재난 안전관리 적용하기', '5차시 자연재난 안전관리 평가하기', '5차시 자연재난 안전관리 정리하기', '5차시 자연재난 안전관리 OUTRO', '6차시 골든타임 INTRO', '6차시 골든타임 들어가기', '6차시 골든타임 학습목표', '6차시 골든타임 응급확자와 응급처치', '6차시 골든타임 인공호흡과 심폐소생술', '6차시 골든타임 적용하기', '6차시 골든타임 평가하기', '6차시 골든타임 정리하기', '6차시 골든타임 OUTRO']",2024-02-01 , 2024-12-13
취업코치의 꿀팁 대방출,접수진행중,보건복지교육,교육승인일로 부터    21일,500,무료,['취업코치의 꿀팁 대방출 '],2024-02-01 , 2024-12-13
사회복지법인 및 시설 재무회계규칙 길라잡이,접수진행중,보건복지교육,교육승인일로 부터    21일,500,무료,"['사회복지법인 및 시설 재무회계규칙 길라잡이 ', '사회복지법인 및 시설 재무회계규칙 길라잡이']",2024-02-01 , 2024-12-13
사회복지 재무회계 첫걸음,접수진행중,보건복지교육,교육승인일로 부터    21일,500,무료,"['사회복지 재무회계 첫걸음1 법인 및 재무회계 규칙 개요', '사회복지 재무회계 첫걸음2 총칙 예산 결산', '사회복지 재무회계 첫걸음3 회계 계약 감사']",2024-02-01 , 2024-12-13
