,IDX,Subject,Start Date,End Date,Application Start Date,Application End Date,Registered People,Registration Cost,Apply State,View Detail
0,171,일반경비 신임교육 1기,2022-01-18,2022-01-21,2021-12-29,2022-01-17,30,50000,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=171
1,172,일반경비원 신임교육 2기,2022-02-22,2022-02-25,2022-01-19,2022-02-18,30,50000,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=172
2,173,소양교육_취업준비교육 1기(온라인 실시간),2022-02-22,2022-02-23,2022-01-24,2022-02-21,10,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=173
3,174,소양교육_줌(ZOOM) 활용 교육,2022-02-25,2022-02-25,2022-01-24,2022-02-23,15,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=174
4,175,방역소독원 교육 1기,2022-02-15,2022-02-16,2022-01-27,2022-02-14,10,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=175
5,176,2022년 직업교육_일반경비원 신임교육 3기,2022-03-22,2022-03-25,2022-02-17,2022-03-18,30,50000,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=176
6,177,취업준비교육 2기(온라인 실시간),2022-03-29,2022-03-30,2022-03-02,2022-03-28,10,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=177
7,178,시니어를 위한 노무특강,2022-03-23,2022-03-23,2022-03-02,2022-03-22,10,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=178
8,179,취업설계교육 1기(온라인 실시간),2022-04-05,2022-04-14,2022-03-14,2022-04-14,10,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=179
9,180,[마감]소양교육_줌(ZOOM) 활용 교육 2기,2022-04-22,2022-04-22,2022-03-22,2022-04-21,15,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=180
10,181,2022년 직업교육_일반경비원 신임교육 4기,2022-04-26,2022-04-29,2022-03-24,2022-04-22,30,50000,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=181
11,182,도보배달원교육 1기,2022-04-28,2022-04-29,2022-03-28,2022-04-29,10,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=182
12,183,병원동행매니저 교육 1기,2022-04-28,2022-04-29,2022-04-11,2022-04-22,10,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=183
13,184,취업준비교육 3기(대면 교육),2022-04-26,2022-04-27,2022-03-31,2022-04-25,10,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=184
14,185,2022년 직업교육_일반경비원 신임교육 5기,2022-05-24,2022-05-27,2022-04-15,2022-05-20,30,50000,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=185
15,186,기계활용건물청소원 교육 1기,2022-05-11,2022-05-12,2022-04-22,2022-05-06,15,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=186
16,187,시니어 구직자를 위한 힐링프로그램,2022-05-18,2022-05-18,2022-04-25,2022-05-17,15,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=187
17,188,취업준비교육 4기,2022-05-24,2022-05-25,2022-04-28,2022-05-24,15,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=188
18,189,2022년 직업교육_일반경비원 신임교육 6기,2022-05-31,2022-06-03,2022-05-16,2022-05-30,30,50000,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=189
19,190,기계식주차관리원 교육 1기,2022-05-26,2022-05-27,2022-05-17,2022-05-25,20,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=190
20,191,온라인 입사지원 특강 1기,2022-06-22,2022-06-22,2022-05-20,2022-06-22,10,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=191
21,192,소독방역원 교육 2기,2022-06-08,2022-06-09,2022-05-25,2022-06-07,20,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=192
22,193,2022년 직업교육_일반경비원 신임교육 7기,2022-06-21,2022-06-24,2022-06-07,2022-06-20,30,50000,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=193
23,194,취업준비교육 5기,2022-06-28,2022-06-28,2022-06-07,2022-06-28,20,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=194
24,196,취업설계교육 2기,2022-07-05,2022-07-12,2022-06-13,2022-07-05,20,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=196
25,198,2022년 직업교육_일반경비원 신임교육 8기,2022-07-19,2022-07-22,2022-06-21,2022-07-18,30,50000,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=198
26,199,취업준비교육 6기,2022-07-26,2022-07-26,2022-07-01,2022-07-26,25,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=199
27,200,병원동행매니저 교육 2기,2022-07-20,2022-07-22,2022-07-07,2022-07-19,15,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=200
28,201,온라인 입사지원 특강 2기,2022-08-17,2022-08-17,2022-07-15,2022-08-17,10,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=201
29,202,2022년 직업교육_일반경비원 신임교육 10기,2022-08-23,2022-08-26,2022-07-19,2022-08-22,30,50000,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=202
30,203,기부플래너 양성과정 교육,2022-08-17,2022-08-19,2022-08-03,2022-08-16,15,0,마감,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=203
