구인상태,사업장명,근무지역,직종,연령,성별,급여,근무시간,채용인원,근무내용,지원방법,지원서류,업종,종류,구인제목,근무형태,경력조건,접수마감
구인중,비티엠써비스(주),성동구 성수동,건물 시설기사,~65세,남,월260만원,,1명,"<비티엠써비스(주)>건물 시설기사 1명*성수동 서울M타워 시설기사 업무*경력 3년 이상 필수, 소방1급, 기계설비유지(중급) 필수*월260만원*3교대(주간/당직/비번)*계약직(12개월)*근무지 서울특별시 성동구 뚝섬로1길 31 (성수동1가) 서울숲M타워*남, ~65세",*상담사 알선 02-6220-8640,,,민간,성동구 성수동 건물 시설기사 모집,,경력,모집 완료 시 마감
구인중,위한씨엠(주),동대문구 제기동,병원 청소원,무관,여,월147만원,12:00~17:00,1명,"<위한씨엠(주)>병원 청소원 1명*제기동역 인근 동대문날개병원 청소*월147만원*평일 12:00~17:00 , 격주토 07:00~12:30 *계약직(3개월) / 계약 만료 후 상용직 전환 검토*근무지 서울특별시 동대문구 무학로 194-1 (제기동) 동대문 날개병원*여, 연령무관",*상담사 알선 02-6220-8640,,,민간,동대문구 제기동 병원 청소원 모집,,무관,모집 완료 시 마감
구인중,효성렌트카 주식회사,구로구 구로동,렌트카 배차 및 회차 직원,~70세,남,월245만원,07:00~19:00,2명,"<효성렌트카 주식회사>렌트카 배차 및 회차업무 사원 2명차량운전 및 관리, 차량배차 및 청소 업무*운전면허 1종보통 소지자, 준고령자 우대, 장기근속 가능자, 근면 성실하신 분 우대 *월245만원*주6일07:00~19:00(휴게 4시간)*상용직 *근무지 서울특별시 구로구 구로중앙로 229 1층 11호*남, ~70세",*상담사 알선 02-6220-8640,,,민간,구로구 구로동 렌트카 배차 및 회차 직원 모집,주6일,무관,모집 완료 시 마감
구인중,강남시니어클럽,서울지역,카드배송원,만 60세 이상(만 65세 이상 우대),무관,월50만원 이상,09:00~15:00,00명,업무내용: 도보를 이용하여 소화물(카드 등)을 배달하는 업무.* 참여조건1. 만 60세 이상(만 65세 이상 우대)2. 주민등록등본 상 서울거주자* 참여 제한1. 국민기초생활보장법 생계급여 수급자2. 장기요양보험 등급 판정자3. 타 노인일자리 사업 참여자4. 건강보험 직장가입자,02-547-8866 서울강남시니어클럽,,,민간,서울지역 카드배송원 모집,주5일,무관,모집 완료 시 마감
구인중,제이앤비이에스,강남구 역삼동/삼성동/논현동,가정방문 도시가스 점검원,~60세,여,월220만원,,2명,"<제이앤비이에스>가정방문 도시가스 점검원 2명강남구 역삼동, 삼성, 논현 인근 가정 방문 도시가스 점검 업무*스마트폰 활용 업무임에 따라 스마트폰 활용 가능자 우대*경력 무관하며, 해당 업무 사용시설 안전검원 자격 취득 필수임에 따라 채용 확정 되면 관련 교육 회사에서 지원함 *월220만원*주5일(주말포함) 07:00~22:00(7시간 자율근무, 현장 출퇴근)*상용직*근무지 서울특별시 강남구 역삼동, 삼성동, 논현동 내*여, ~60세",*상담사 알선 02-6220-8640,,,민간,강남구 역삼동/삼성동/논현동 가정방문 도시가스 점검원 모집,주5일,무관,모집 완료 시 마감
구인중,주식회사 와이에이치이노,강남구 역삼동,빌딩 청소원,~70세,남,월184만원,06:30~15:00,1명,"<주식회사 와이에이치이노>빌딩 청소원(남) 1명*강남구 역삼동 두꺼비빌딩(15층 건물) 건물내부 청소 및 재활용 분리수거 업무*기계청소 가능자 필수*월184만원*주5일06:30~15:00(휴게 09:00~10:00, 12:30~13:30)*계약직*근무지 서울특별시 강남구 테헤란로 310 (역삼동) 두꺼비빌딩*남, ~70세",*상담사 알선 02-6220-8640,,,민간,강남구 역삼동 빌딩 청소원 모집,주5일,무관,모집 완료 시 마감
구인중,햇살유치원,도봉구 쌍문동,유치원 통학차량 기사,~65세,남,월165만원,,1명,"<햇살유치원>유치원통학차량 기사 1명*유치원 통학 차량 운전(등원/하원) 업무*도봉구 인근 거주자, 운전면허 1종 대형 소지자*운전 경력 3년 이상 / 33인승 버스 운전 어린이 통학차*월165만원*주5일 08:00~10:00, 16:00~18:00(아침등원차량, 오후하원차량) / 견학 있는 날에는 추가로 견학지 함께 이동*근무지 서울특별시 도봉구 우이천로32길 38 (쌍문동)  2층 햇살유치원 (쌍문역 인근)*남, 60세~65세",*상담사 알선 02-6220-8640,,,민간,도봉구 쌍문동 유치원 통학차량 기사 모집,주5일,경력,모집 완료 시 마감
구인중,푸른안전산업,강남구 신사동,건물 주차관리원,~70세,남,월198만원,09:00~18:00,1명,"<푸른안전산업>건물 주차관리원 1명압구정역 인근 신사동 빌딩 주차관리 업무*운전가능자, 주차타워 앞 주차공간(2대) 차량 이동 등*월198만원*평일09:00~18:00, 토 09:00~14:00 (휴게 12:00~13:50, 16:00~17:00)*상용직*근무지 서울특별시 강남구 언주로172길 26 (신사동) 신사동엘리시아*남, ~70세",*상담사 알선 02-6220-8640,,,민간,강남구 신사동 건물 주차관리원 모집,주6일,무관,모집 완료 시 마감
구인중,포근담산부인과의원,마포구 서교동,병원 조리사 및 배식,~70세,여,월180만원,,1명,"<포근담산부인과>병원 조리사 1명*산부인과 조리 및 배식 업무 / 조리사 자격증 무관하나 우대 / 경력자 우대*산부인과 병실 5개, 17인분(20인분 미만) 조리*월180만원*격일(평일 격일, 주말(토,일) 중 근무) 협의 07:00~17:00(휴게 09:00~10:00, 14:00~15:00)*상용직*근무지 서울특별시 마포구 월드컵로 88 (서교동) 서교월드빌딩 2층*여, 55세~70세",*상담사 알선 02-6220-8640,,,민간,마포구 서교동 병원 조리사 및 배식 모집,격일,무관,모집 완료 시 마감
구인중,한양에너지(주),광진구 중곡동,LPG가스 충전원,~65세,남,월240만원,,1명,"<한양에너지(주)>LPG가스 충전원 1명*차량용 SK LPG 주유 및 카드정산 작업*신입 지원 가능, 경력자 우대*월240만원*교대제 순환(1일 7시간) 근무 / 휴게시간 1시간- 주간(06:00~14:00/1일)+오후(14:00~22:00/2일)+야간(22:00~익일06:00/2일)근무 후 1일 휴무*계약직(12개월(3개월 수습기간 적용/직무평가 후 근로계약 연장))*근무지 서울특별시 광진구 동일로 381 (중곡동) 한양에너지(주)*남, ~65세*출근 예정일 5월 말",*상담사 알선 02-6220-8640,,,민간,광진구 중곡동 LPG가스 충전원 모집,,무관,모집 완료 시 마감
