구인제목,사업장명,업종,직종,채용인원,근무지역,근무내용,경력조건,필요경력,급여,근무시간,근무형태,접수마감,전형방법,지원방법
강남구립 역삼노인요양센터 직원(사회복지사) 채용 공고,구립 역삼노인복지센터 부설 역삼노인요양센터,사회복지,사회복지사,1명,서울특별시 강남구 도곡로27길 27  (역삼동) 역삼노인요양센터,"이용 어르신 관리 및 상담, 장기요양수가 청구, 프로그램 진행 등 장기요양시설 사회복지 업무 전반",무관,,(월급) 220만원,09:00~18:00,주간,2024.05.07,"서류 ,면접","온라인,방문,우편,팩스,기타( 이메일 지원 yssenior@hanmail.net )"
[제2024-23호] 시립은평의마을 직원 채용 공고(계약직 생활복지사)(’24.5.1.  ~’24.5.16.),서울특별시립은평의마을,사회복지,사회복지사(사회복지시설),1명,서울특별시 은평구 갈현로15길 27 -1 (구산동) 은평의마을,"프로그램, 상담, 사무업무 등

*근무시간/스케줄에 따라 4교대
A조-07:00~16:00
B조-13:00~22:00
C조-09:00~18:00
N조-22:00~08:00 (야간 24~06시 사이 2시간 휴게)
비번

 사회복지사 필수
야간, 시간외 별도지급",무관,,(월급) 234만원,채용공고문 참조,3교대,2024.05.16,"서류 ,면접 ,신체검사",기타( 채용공고문 확인 후 우편 또는 이메일 접수((hjpark119@bizmeka.com)) )
연장반(영아) 교사 모집,국공립 동화어린이집,사회복지,보육 교사,1명,서울특별시 중구 청구로 64  (신당동) 106동 1층 동화어린이집,"안녕하십니까! 국공립 동화어린이집입니다. 본 어린이집에서는 영유아를 존중하고 사랑하며 영유아보육에 열의와 사명감을 가지고 성실히 함께할 긍정적인 교사를 모집합니다.

1. 채용부분 
가. 연장반(영아) 보육교사 1명 
나. 근무시간 : 15:00~19:30 (휴게시간 18:30~19:00)
다. 근무시기 : 2024년 7월 부터 

2. 지원자격 - 보육교사 자격증 소지자. 장기 미종사자교육 이수자(해당자) 
3. 급여: 보육사업 지침준용 ( 월급 1,068,000원이상 )
4. 제출서류 - 이력서 1부(최근 6개월 이내 촬영한 사진, 반명함판) , 자기소개서 1부  
5. 전형방법 - 이메일 접수(donghwa2234@naver.com) 
* 서류전형 합격자에게는 개별적으로 유선으로 연락 후 2차 면접 

6. 기타 
- 제출한 일체의서류는 반환되지 않으며, 개인정보 보호 차원에서 전부 파쇄됩니다. 
- 지원 서류의 기재 사항이 사실과 다를 경우, 임용 이후라도 합격이 취소될 수 있습니다. 
- 신원조회 및 채용신체검사 결과 및 성범죄 및 아동학대경력조회에서 부적격 판정을 받을 경우 합격이 불가합니다.",무관,,"(월급) 106만원
								
							
							
						
					  
						상여금 : 0% -
							
							연봉 또는 월급에 포함",15:00~19:30,주간,채용시까지(2개월이내),"서류 ,면접","전자우편,기타( 이메일   donghwa2234@naver.com )"
[원효로3가] 영아반 연장보육 전담교사 모집,원효어린이집,사회복지,보육 교사,1명,서울특별시 용산구 원효로41가길 14 -19 (원효로3가) (원효로3가),"[영아반 연장보육 전담교사 모집 ]

- 직무 : 야간연장 교사와 함께 영아 연장반 보육 및 교실 청소

- 자격 : 보육교사자격증 2급 이상

- 근무시간 : 15:00~19:30(휴게시간 18:30~19:00) / 주5일 근무

- 급여 : 월 1,068,000원",무관,,(월급) 106만원,15:00~19:30,주간,채용시까지(2개월이내),"서류 ,면접",전자우편
(재공고) 서대문구 서울형 키즈카페 북가좌1동점 종사자 채용 공고,가좌제일교회,사회복지,기타 사회복지 종사원,1명,서울특별시 서대문구 수색로8길 48 -4 (북가좌동) 3층 키즈카페,"서울형 키즈카페 북가좌1동점 운영요원 1명 채용 
- 시설 예산 집행 및 이용예약 관리 외, 기타 행정관리, 키즈카페 관련 업무 등",무관,,(최소연봉) 2500만원,9:00~18:00,주간,2024.05.14,"서류 ,면접",기타( 이메일 접수 (gajwawebmaster@gmail.com) )
[제2024-24호] 시립은평의마을 직원 채용 공고(생활지도원),서울특별시립은평의마을,사회복지,장애인 생활지도원(장애인활동보조원 포함),5명,서울특별시 은평구 갈현로15길 27 -1 (구산동) 은평의마을,"생활지도(케어, 일상지원, 프로그램 지원 등)

*근무시간/스케줄에 따라 4교대
A조-07:00~16:00
B조-13:00~22:00
C조-09:00~18:00
N조-22:00~08:00 (야간 2시간 휴게)


* 3호봉 이하 생활지도원 채용 
* 사회복지사 필수 
야간, 시간외 별도지급",무관,,"(월급) 234만원
								
							
							
						
					  
						상여금 : 0% -
							
							
							연봉 또는 월급에 미포함",교대제,기타,2024.05.16,"서류 ,면접 ,신체검사",기타( 채용공고문 확인 후 우편 또는 이메일 접수 )
2024년 서울시립청소년자립지원관(혼합형) 자립지원요원 채용 공고,서울시립청소년자립지원관,사회복지,청소년 지도사,1명,서울특별시 도봉구 시루봉로15길 93  (방학동) 102동 203호,"- 자립준비청소년 사례관리
- 사업 및 프로그램 운영 등",무관,,"(월급) 223만원
								
							
							
						
					  
						상여금 : 120% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,2024.05.15,"서류 ,면접",기타( 자사 이메일입사지원(지정양식) )
성인발달장애인 주간활동서비스 제공인력 채용 공고,서초구립한우리정보문화센터,사회복지,사회복지사(사회복지시설),1명,서울특별시 서초구 남부순환로340길 15  (서초동) 서초구립한우리정보문화센터,"- 이용자 및 급여 유형별 프로그램 계획 및 운영 
- 이용자 프로그램 서류, 제공기록지 등 관련서류 작성 및 관리
- 이용자 및 보호자 관리(상담 등)",무관,,(최소연봉) 2500만원,09:00~18:00,주간,2024.05.14,"서류 ,면접","방문,우편,기타( 자사양식, 이메일접수(shcorkr0909@nate.com) )"
서울특별시립양평쉼터 육아휴직 대체인력(계약직) 채용공고-재공고,서울특별시립양평쉼터,사회복지,사회복지사(사회복지시설),1명,경기도 양평군 화전로 264  (용문면) 서울특별시립양평쉼터,입소인 생활지도 및 프로그램 계획·진행 업무,무관,,"(월급) 240만원
								
							
							
						
					  
						상여금 : 60% -
							
							연봉 또는 월급에 포함",09:00~18:00,주간,2024.05.22,,"방문,기타( 이메일 접수(superfrog@nate.com) )"
서울특별시한부모가족지원센터 직원 채용 공고 - 가사서비스지원사업,서울특별시한부모가족지원센터,사회복지,사회복지사(사회복지시설),1명,서울특별시 동작구 현충로 75  (흑석동) 소태산기념관 4층,"가사서비스지원사업 팀원(계약직)
- 가사서비스매칭 등 지원

※ 근로기간: 2024. 5. 20. ~ 2024. 12. 31. (년단위계약/연장가능)",무관,,"(월급) 234만원
								
							
							
						
					  - 면접 후 협의가능 
						상여금 : 60% -
							
							
							연봉 또는 월급에 미포함",09:00~18:00,주간,2024.05.14,"서류 ,면접",기타( 이메일접수 hanbumo861@seoul.go.kr )
